mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
199	199	1/2	vM7		D	I		vM7	v	M	7				mM7	0	0	1, -2, 2, 6		1.0	1.0
199	199	5/8	.bII		D	I										0	0				
200	200	0	V[v7		D	I	V	v7	v		7				mm7	0	0	1, -2, 2, -1		1.0	1.0
201	201	0	v7(9)		D	I	V	v7(9)	v		7	9			mm7	0	0	1, -2, 2, -1	3	1.0	1.0
202	202	0	V43/bV		D	I	V	V43/bV	V		43		bV		Mm7	0	0	-4, -7, -5, -1		-5.0	-4.0
203	203	3/8	V7/bV		D	I	V	V7/bV	V		7		bV		Mm7	0	0	-5, -1, -4, -7		-5.0	-5.0
204	204	1/2	V43/bV		D	I	V	V43/bV	V		43		bV		Mm7	0	0	-4, -7, -5, -1		-5.0	-4.0
205	205	3/8	V65/bV		D	I	V	V65/bV	V		65		bV		Mm7	0	0	-1, -4, -7, -5		-5.0	-1.0
206	206	0	V2/ii		D	I	V	V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3.0	1.0
206	206	5/8	V65/IV		D	I	V	V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0.0	4.0
207	207	0	V2/ii		D	I	V	V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3.0	1.0
207	207	3/8	V7(6)		D	I	V	V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
207	207	5/8	v7(9)		D	I	V	v7(9)	v		7	9			mm7	0	0	1, -2, 2, -1	3	1.0	1.0
208	208	0	V2/ii		D	I	V	V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3.0	1.0
208	208	3/8	V7(6)		D	I	V	V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
208	208	5/8	v7(9)]		D	I	V	v7(9)	v		7	9			mm7	0	0	1, -2, 2, -1	3	1.0	1.0
209	209	0	.bvii.V7(94)/bII		D	I										0	0				
210	210	0	V7(b96)/#VII		D	I		V7(b96)/#VII	V		7	b96	#VII		Mm7	0	0	13, 17, 16, 11	8	13.0	13.0
211	211	0	V7(9)/#VI		D	I		V7(9)/#VI	V		7	9	#VI		Mm7	0	0	11, 15, 12, 9	13	11.0	11.0
212	212	0	V7(b96)/V		D	I		V7(b96)/V	V		7	b96	V		Mm7	0	0	2, 6, 5, 0	-3	2.0	2.0
213	213	0	iM7(+b6)		D	I		iM7(+b6)	i	M	7	+b6			mM7	0	0	0, -3, 1, 5	-4	0.0	0.0
213	213	3/8	iM7		D	I		iM7	i	M	7				mM7	0	0	0, -3, 1, 5		0.0	0.0
213	213	3/4	V7(b9)		D	I		V7(b9)	V		7	b9			Mm7	0	0	1, 5, 2, -1	-4	1.0	1.0
214	214	0	iM7(+b6)		D	I		iM7(+b6)	i	M	7	+b6			mM7	0	0	0, -3, 1, 5	-4	0.0	0.0
